numero,cliente,productos_cantidad,empleado,fecha,hora,observaciones,estado,precio
58,Cynthia,Cookies - Amaretto,Corrie,1/23/2021,7:17 AM,diners-club-enroute,ACTIVA,$4309.54
59,Fiann,Carbonated Water - Blackcherry,David,2/6/2021,12:28 AM,jcb,ACTIVA,$15216.42
60,Odette,"Nut - Pistachio, Shelled",Simone,6/4/2020,3:45 PM,americanexpress,ACTIVA,$5161.12
61,Margo,Lobster - Tail 6 Oz,Carrissa,6/16/2020,9:04 AM,jcb,ACTIVA,$10103.97
62,Mackenzie,Mushroom - King Eryingii,Gregor,1/27/2021,6:47 AM,laser,ACTIVA,$19879.31
63,Harrison,Oysters - Smoked,Sayers,12/4/2020,9:56 PM,jcb,ACTIVA,$8552.69
64,Yul,Salt And Pepper Mix - Black,Daren,12/5/2020,12:45 PM,visa-electron,ACTIVA,$16716.62
65,Jessie,Munchies Honey Sweet Trail Mix,Iosep,6/19/2020,9:36 PM,bankcard,ACTIVA,$18315.66
66,Isabeau,Bread - Corn Muffaletta,Madelene,12/25/2020,8:46 AM,americanexpress,ACTIVA,$12466.38
67,Casper,Bols Melon Liqueur,Ced,6/30/2020,9:03 PM,mastercard,ACTIVA,$16011.08
68,Mabelle,"Rum - Spiced, Captain Morgan",Blanch,1/24/2021,4:05 AM,mastercard,ACTIVA,$13027.31
69,Ardra,Cod - Black Whole Fillet,Christoper,2/3/2021,4:41 PM,visa,ACTIVA,$9594.99
70,Karina,Bread - Sour Batard,Holly,12/5/2020,2:36 AM,jcb,ACTIVA,$11016.20
71,Ulrika,Napkin Colour,Tamar,10/20/2020,6:02 AM,jcb,ACTIVA,$14419.86
72,Tessi,"Juice - Clam, 46 Oz",Andra,5/25/2020,5:33 AM,maestro,ACTIVA,$8471.00
73,Benedict,Compound - Strawberry,Melina,6/4/2020,8:14 PM,jcb,ACTIVA,$4135.39
74,Germain,Pomegranates,Brigid,7/5/2020,9:23 AM,jcb,ACTIVA,$13929.85
75,Aguste,Pate Pans Yellow,Ennis,10/26/2020,3:43 PM,switch,ACTIVA,$18612.55
76,Zena,Muffin - Mix - Creme Brule 15l,Clarinda,12/5/2020,3:01 PM,jcb,ACTIVA,$17650.43
77,Cissy,"Nut - Pine Nuts, Whole",Danna,3/27/2020,1:30 AM,china-unionpay,ACTIVA,$11018.11
78,Kate,Bag Clear 10 Lb,Ham,8/17/2020,9:53 AM,mastercard,ACTIVA,$11557.93
79,Luigi,Puree - Mango,Kennie,12/14/2020,2:26 AM,laser,ACTIVA,$9420.85
80,Tove,Curry Powder,Elias,4/14/2020,5:52 PM,jcb,ACTIVA,$7669.86
81,Artemus,"Lemonade - Mandarin, 591 Ml",Hildegaard,1/12/2021,4:57 AM,jcb,ACTIVA,$8430.73
82,Carlie,Lettuce - Lambs Mash,Elwira,5/25/2020,3:55 AM,jcb,ACTIVA,$17640.62
83,Hermon,Trueblue - Blueberry Cranberry,Mavis,9/4/2020,7:36 PM,jcb,ACTIVA,$6936.22
84,Kaycee,Soupcontfoam16oz 116con,Rriocard,1/23/2021,4:52 PM,jcb,ACTIVA,$11967.06
85,Alix,Cheese - Gouda,Antonio,7/17/2020,1:58 AM,bankcard,ACTIVA,$19944.13
86,Rodolphe,Anisette - Mcguiness,Ruthann,11/6/2020,3:17 AM,jcb,ACTIVA,$16021.44
87,Eolanda,Ham - Proscuitto,Billy,7/18/2020,1:41 PM,mastercard,ACTIVA,$12238.74
88,Clarita,"Tart Shells - Sweet, 4",Corabelle,8/30/2020,8:35 AM,jcb,ACTIVA,$7098.38
89,Katerina,Lid - 3oz Med Rec,Merissa,4/14/2020,1:37 PM,laser,ACTIVA,$7989.79
90,Auberta,Juice - Orange 1.89l,Domeniga,11/30/2020,2:38 AM,jcb,ACTIVA,$11156.37
91,Marchelle,Curry Paste - Madras,Kelcie,7/13/2020,11:10 AM,bankcard,ACTIVA,$16278.96
92,Deva,"Tabasco Sauce, 2 Oz",Tiffy,6/8/2020,11:23 PM,jcb,ACTIVA,$13278.02
93,Alecia,Tart - Pecan Butter Squares,Simonette,6/9/2020,3:47 PM,bankcard,ACTIVA,$16777.68
94,Andra,"Flour - Corn, Fine",Kala,6/23/2020,9:42 AM,diners-club-us-ca,ACTIVA,$10386.85
95,Clyve,"Chocolate - Pistoles, Lactee, Milk",Helaina,3/1/2021,1:40 AM,jcb,ACTIVA,$13954.40
96,Nada,Cheese - Mozzarella,Mathias,3/22/2021,3:40 AM,switch,ACTIVA,$8544.90
97,Ichabod,Bagel - Ched Chs Presliced,Sandi,6/5/2020,4:33 PM,jcb,ACTIVA,$7485.06
98,Nelle,Maple Syrup,Claretta,2/6/2021,12:16 PM,switch,ACTIVA,$4001.15
99,Rena,Mushroom - Portebello,Katee,2/27/2021,11:26 PM,jcb,ACTIVA,$4936.52
100,Rowena,Truffle - Whole Black Peeled,Erik,6/30/2020,7:26 PM,switch,ACTIVA,$9106.13
101,Leslie,Oil - Olive,Caria,5/1/2020,11:39 AM,jcb,ACTIVA,$4934.33
102,Frans,Oil - Peanut,Eada,11/13/2020,8:09 AM,instapayment,ACTIVA,$15768.76
103,Marlo,Gherkin,Meagan,4/17/2020,11:03 AM,jcb,ACTIVA,$19892.96
104,Ada,Kiwi,Mary,7/2/2020,3:53 PM,mastercard,ACTIVA,$4698.39
105,Row,"Fish - Scallops, Cold Smoked",Mark,6/27/2020,7:46 AM,switch,ACTIVA,$10854.38
106,Farr,Cheese - Montery Jack,Arri,3/21/2021,9:24 AM,visa-electron,ACTIVA,$4954.91
107,Iolanthe,Wine - Sauvignon Blanc Oyster,Yoko,4/17/2020,4:43 PM,mastercard,ACTIVA,$11610.28
108,Harold,Flounder - Fresh,Rafaela,12/11/2020,12:29 PM,laser,ACTIVA,$14520.12
109,Rod,Grand Marnier,Read,12/13/2020,3:30 PM,switch,ACTIVA,$13923.89
110,Olivette,"Bread - Sticks, Thin, Plain",Franciskus,10/20/2020,11:46 AM,switch,ACTIVA,$11263.00
111,Ivy,Compound - Mocha,Solly,8/23/2020,9:29 PM,jcb,ACTIVA,$16550.98
112,Pansy,Sterno - Chafing Dish Fuel,Garey,12/10/2020,3:20 PM,jcb,ACTIVA,$18959.60
113,Dierdre,Potatoes - Peeled,Maridel,8/28/2020,6:19 PM,diners-club-us-ca,ACTIVA,$15342.24
114,Zeke,Fib N9 - Prague Powder,Louis,4/27/2020,5:50 AM,diners-club-us-ca,ACTIVA,$9144.59
115,Berk,Paper Towel Touchless,Hobart,1/12/2021,3:24 PM,jcb,ACTIVA,$9028.01
116,Udall,Liquid Aminios Acid - Braggs,Remington,8/18/2020,9:02 PM,diners-club-enroute,ACTIVA,$6658.69
117,Thorndike,"Dill - Primerba, Paste",Cordy,6/3/2020,8:53 AM,china-unionpay,ACTIVA,$8223.79
118,Clarie,Wooden Mop Handle,Boyd,2/10/2021,10:25 AM,mastercard,ACTIVA,$5272.82
119,Nancie,Veal - Slab Bacon,Jackie,4/5/2020,3:23 PM,americanexpress,ACTIVA,$5410.08
120,Maurizia,Cheese - Taleggio D.o.p.,Barnard,7/18/2020,8:17 AM,mastercard,ACTIVA,$10443.07
121,Celisse,Melon - Cantaloupe,Gerrilee,5/16/2020,12:41 AM,bankcard,ACTIVA,$7899.32
122,Liza,Plate Pie Foil,Tedda,5/24/2020,6:44 AM,mastercard,ACTIVA,$4180.57
123,Hubert,Isomalt,Fidela,12/27/2020,12:24 PM,americanexpress,ACTIVA,$15635.63
124,Jasmine,"Oil - Shortening,liqud, Fry",Alano,3/19/2021,10:05 PM,bankcard,ACTIVA,$10368.91
125,Robby,Lamb Tenderloin Nz Fr,Dougie,4/20/2020,4:07 PM,instapayment,ACTIVA,$16694.54
126,Mozelle,Pear - Asian,Else,7/9/2020,11:31 AM,laser,ACTIVA,$9829.54
127,Carolee,Schnappes Peppermint - Walker,Ira,9/15/2020,2:03 AM,jcb,ACTIVA,$18763.54
128,Candice,"Wine - White, Riesling, Henry Of",Bailey,10/23/2020,5:58 AM,bankcard,ACTIVA,$18991.81
129,Norry,Tofu - Firm,Gaultiero,3/4/2021,11:16 PM,mastercard,ACTIVA,$18345.40
130,Gage,Bread - Sour Batard,Barrett,12/12/2020,5:02 AM,diners-club-enroute,ACTIVA,$17603.29
131,Chiquita,Lobster - Tail 6 Oz,Roselin,1/28/2021,5:12 PM,diners-club-us-ca,ACTIVA,$8638.97
132,Geneva,"Chicken - Diced, Cooked",Kori,5/14/2020,2:24 AM,jcb,ACTIVA,$13513.78
133,Merna,Olive - Spread Tapenade,Virgie,9/19/2020,6:54 AM,americanexpress,ACTIVA,$18499.02
134,Blake,Glaze - Apricot,Florida,9/1/2020,7:11 PM,jcb,ACTIVA,$19365.14
135,Udale,Bacardi Breezer - Tropical,Monica,6/19/2020,1:45 AM,jcb,ACTIVA,$19021.86
136,Abdel,Wonton Wrappers,Daffie,3/5/2021,5:21 PM,jcb,ACTIVA,$8534.82
137,Phillipe,V8 Pet,Sebastian,1/17/2021,4:40 PM,jcb,ACTIVA,$14025.90
138,Hogan,Milk - Chocolate 500ml,Bryon,10/20/2020,10:44 PM,mastercard,ACTIVA,$7017.98
139,Lucais,Cornflakes,Dianne,10/22/2020,2:35 AM,jcb,ACTIVA,$6732.69
140,Darbie,Towel Multifold,Carolan,3/23/2021,3:17 AM,diners-club-carte-blanche,ACTIVA,$18058.56
141,Silas,Piping Jelly - All Colours,Arnoldo,12/20/2020,3:07 PM,switch,ACTIVA,$11427.65
142,Stephanie,Clams - Bay,Tersina,5/21/2020,9:22 AM,jcb,ACTIVA,$5480.45
143,Maurice,Cookie - Oatmeal,Ulysses,10/16/2020,2:34 AM,jcb,ACTIVA,$11876.86
144,Bogey,Soup - Campbells Chili,Adler,3/11/2021,6:46 AM,jcb,ACTIVA,$8158.59
145,Heloise,Extract - Lemon,Aurilia,4/24/2020,1:51 AM,diners-club-carte-blanche,ACTIVA,$9523.97
146,Madeline,"Pasta - Lasagna Noodle, Frozen",Ruttger,3/1/2021,4:57 AM,jcb,ACTIVA,$12107.91
147,Thane,Pepper - Red Bell,Louisette,6/18/2020,10:00 AM,mastercard,ACTIVA,$4082.45
148,Torrance,Lumpfish Black,Desmund,9/10/2020,3:53 PM,visa-electron,ACTIVA,$4056.45
149,Neilla,Soup Campbells Beef With Veg,Sheelagh,10/20/2020,2:37 AM,visa,ACTIVA,$19247.69
150,Amaleta,Cattail Hearts,Rozalin,6/9/2020,9:35 PM,jcb,ACTIVA,$7514.17
151,Olga,"Coffee - Beans, Whole",Adolf,9/6/2020,6:00 PM,jcb,ACTIVA,$5000.94
152,Dulsea,"Appetizer - Mini Egg Roll, Shrimp",Brendon,4/16/2020,3:09 PM,china-unionpay,ACTIVA,$14618.28
153,Winnah,Mushrooms - Honey,Samantha,7/28/2020,2:41 AM,jcb,ACTIVA,$18046.73
154,Aubrey,Apple - Fuji,Archambault,8/29/2020,3:52 PM,jcb,ACTIVA,$13352.08
155,Dunn,Bay Leaf Fresh,Welch,9/29/2020,3:20 AM,jcb,ACTIVA,$19161.44
156,Leonhard,Trout - Smoked,Devland,2/11/2021,1:05 AM,mastercard,ACTIVA,$11950.68
157,Moyra,Eggplant - Asian,Cookie,2/20/2021,11:44 AM,laser,ACTIVA,$16685.75
158,Georgy,Sage Ground Wiberg,Janet,7/28/2020,1:42 PM,diners-club-enroute,ACTIVA,$12229.64
159,Florella,Flour - Semolina,Lars,2/24/2021,6:28 AM,diners-club-enroute,ACTIVA,$18932.37
160,Norma,Potatoes - Parissienne,Killian,7/19/2020,7:33 PM,mastercard,ACTIVA,$10814.56
161,Twila,Bread - Flat Bread,Judy,1/7/2021,9:07 AM,jcb,ACTIVA,$9373.56
162,Wally,"Soup - Campbells, Cream Of",Ignatius,2/6/2021,6:42 AM,visa-electron,ACTIVA,$18553.87
163,Brett,Table Cloth 62x114 White,Florella,1/3/2021,1:09 PM,americanexpress,ACTIVA,$4613.96
164,Billie,"Wine - White, Cooking",Avram,10/31/2020,6:09 PM,jcb,ACTIVA,$18456.71
165,Neysa,Ecolab Crystal Fusion,Monah,1/27/2021,12:44 AM,visa-electron,ACTIVA,$19862.09
166,Rosalie,Bonito Flakes - Toku Katsuo,Keeley,2/16/2021,11:25 AM,diners-club-enroute,ACTIVA,$18228.26
167,Kerry,Blouse / Shirt / Sweater,Devondra,2/7/2021,5:53 PM,maestro,ACTIVA,$11231.67
168,Tabb,"Nut - Pine Nuts, Whole",Zorana,2/4/2021,11:55 AM,mastercard,ACTIVA,$9025.63
169,Elnar,Vegetable - Base,Thea,6/30/2020,6:06 AM,visa-electron,ACTIVA,$4436.60
170,Byrle,"Cod - Salted, Boneless",Darby,1/2/2021,9:59 PM,jcb,ACTIVA,$10114.36
171,Sibeal,Mints - Striped Red,Allx,11/10/2020,10:08 PM,americanexpress,ACTIVA,$9766.65
172,Margarette,Crab Brie In Phyllo,Raynor,8/11/2020,10:03 AM,switch,ACTIVA,$17585.33
173,Ashia,Pork - Ham Hocks - Smoked,Fernando,5/4/2020,7:32 AM,mastercard,ACTIVA,$16665.73
174,Desiree,"Bread - Roll, Calabrese",Fern,9/8/2020,3:15 PM,mastercard,ACTIVA,$16143.48
175,Saunderson,Table Cloth 54x54 White,Lorrie,6/13/2020,11:30 AM,switch,ACTIVA,$11081.48
176,Deane,Beer - Paulaner Hefeweisse,Blondy,9/26/2020,6:13 AM,visa,ACTIVA,$18839.45
177,Jami,Wine - Manischewitz Concord,Talya,8/19/2020,3:15 PM,switch,ACTIVA,$11156.36
178,Bruce,Silicone Paper 16.5x24,Zena,7/27/2020,11:31 PM,instapayment,ACTIVA,$13917.72
179,Marice,Tray - 12in Rnd Blk,Janelle,10/16/2020,6:03 PM,jcb,ACTIVA,$11044.70
180,Max,Instant Coffee,Ellie,12/20/2020,9:48 PM,bankcard,ACTIVA,$18760.31
181,Peyter,Bread Ww Cluster,Roanna,2/28/2021,7:05 AM,jcb,ACTIVA,$10598.81
182,Ellwood,"Yogurt - Blueberry, 175 Gr",Tuesday,4/24/2020,3:13 PM,diners-club-carte-blanche,ACTIVA,$16628.29
183,Dawna,Beer - Blue,Sonja,2/14/2021,11:15 PM,diners-club-us-ca,ACTIVA,$8679.16
184,Nils,Puree - Pear,Uta,9/23/2020,10:03 PM,bankcard,ACTIVA,$14477.34
185,Cele,"Lid - High Heat, Super Clear",Man,4/12/2020,7:39 PM,china-unionpay,ACTIVA,$10325.47
186,Kitti,Muffin Mix - Morning Glory,Annadiana,10/10/2020,4:33 PM,jcb,ACTIVA,$14104.84
187,Jena,Lettuce - Belgian Endive,Gaspar,6/14/2020,7:31 PM,mastercard,ACTIVA,$19087.96
188,Werner,Soup Campbells Beef With Veg,Carly,2/18/2021,5:07 PM,china-unionpay,ACTIVA,$12983.21
189,Lizette,Mix - Cocktail Ice Cream,Gwenneth,6/13/2020,7:38 PM,mastercard,ACTIVA,$14476.29
190,Theo,"Chocolate - Pistoles, Lactee, Milk",Godfrey,5/13/2020,1:54 AM,jcb,ACTIVA,$4065.26
191,Maurise,Island Oasis - Pina Colada,Neille,1/24/2021,12:31 PM,jcb,ACTIVA,$19486.68
192,Cristabel,The Pop Shoppe - Cream Soda,Verney,11/28/2020,9:39 AM,china-unionpay,ACTIVA,$19720.07
193,Godfree,"Brandy - Orange, Mc Guiness",Augustus,7/12/2020,8:41 PM,diners-club-carte-blanche,ACTIVA,$16158.94
194,Torrie,Lime Cordial - Roses,Mamie,1/4/2021,12:24 AM,switch,ACTIVA,$19601.88
195,Kris,Milk - Condensed,Emery,5/5/2020,7:14 AM,americanexpress,ACTIVA,$11646.83
196,Ulrike,Chocolate - Dark,Bernadette,10/7/2020,11:24 AM,maestro,ACTIVA,$6880.90
197,Joshuah,Appetizer - Smoked Salmon / Dill,Kordula,8/7/2020,1:37 PM,maestro,ACTIVA,$14586.76
198,Yance,Wine - Casillero Del Diablo,Alica,5/9/2020,12:15 PM,jcb,ACTIVA,$13946.02
199,Lodovico,Yoplait Drink,Amalle,5/25/2020,12:43 PM,jcb,ACTIVA,$6821.60
200,Rivalee,Ecolab - Balanced Fusion,Glyn,1/16/2021,4:46 PM,americanexpress,ACTIVA,$9570.78
201,Berkly,Cheese - Oka,Ban,11/3/2020,4:52 PM,switch,ACTIVA,$10736.88
202,Thorny,Ice Cream - Turtles Stick Bar,Brodie,1/24/2021,1:22 AM,jcb,ACTIVA,$11710.47
203,Dode,Appetizer - Chicken Satay,Adorne,10/28/2020,1:01 AM,jcb,ACTIVA,$5339.85
204,Jemmy,"Wine - White, Gewurtzraminer",Marcelle,4/26/2020,9:13 PM,china-unionpay,ACTIVA,$6191.49
205,Alisander,Mayonnaise,Tiena,6/29/2020,3:32 AM,jcb,ACTIVA,$15925.08
206,Irene,"Split Peas - Yellow, Dry",Barbi,9/13/2020,9:23 AM,visa-electron,ACTIVA,$5557.47
207,Garfield,Island Oasis - Peach Daiquiri,Lexis,2/6/2021,2:31 PM,diners-club-carte-blanche,ACTIVA,$10257.87
208,Garreth,Remy Red Berry Infusion,Diena,7/15/2020,4:59 PM,switch,ACTIVA,$6551.32
209,Karleen,Bagel - 12 Grain Preslice,Kinsley,9/23/2020,12:30 AM,mastercard,ACTIVA,$18505.68
210,Lolita,"Yogurt - Cherry, 175 Gr",Diandra,1/31/2021,8:34 PM,maestro,ACTIVA,$11298.97
211,Sherlocke,Cucumber - Pickling Ontario,Tobias,4/7/2020,4:18 PM,maestro,ACTIVA,$11849.41
212,Kalinda,Chips Potato Salt Vinegar 43g,Gwenny,10/8/2020,10:48 AM,maestro,ACTIVA,$6150.08
213,Hoyt,Arrowroot,Robby,1/20/2021,9:01 PM,jcb,ACTIVA,$9303.73
214,Jermayne,Tuna - Sushi Grade,Basile,12/6/2020,2:46 AM,jcb,ACTIVA,$16023.45
215,Barrett,Table Cloth 72x144 White,Kathi,11/29/2020,11:48 PM,jcb,ACTIVA,$12752.59
216,Liz,Jerusalem Artichoke,Dallon,11/21/2020,9:12 PM,jcb,ACTIVA,$12910.36
217,Samara,Bag - Regular Kraft 20 Lb,Anallese,9/12/2020,9:59 AM,diners-club-carte-blanche,ACTIVA,$11380.60
218,Oriana,Ham Black Forest,Dallas,8/17/2020,2:39 PM,visa,ACTIVA,$10643.99
219,Horten,Longos - Grilled Veg Sandwiches,Jeramie,7/1/2020,3:56 PM,china-unionpay,ACTIVA,$19106.78
220,Mayne,Puree - Blackcurrant,Elfrieda,10/17/2020,9:47 PM,bankcard,ACTIVA,$4383.74
221,Bord,Halibut - Steaks,Ella,4/13/2020,10:01 AM,switch,ACTIVA,$6906.24
222,Giana,"Beef - Ground, Extra Lean, Fresh",Elinor,1/3/2021,1:43 PM,mastercard,ACTIVA,$12712.34
223,Miles,Browning Caramel Glace,Frayda,8/19/2020,12:44 PM,jcb,ACTIVA,$10455.56
224,Hilly,Squid - U - 10 Thailand,Nikolaos,1/5/2021,12:27 PM,mastercard,ACTIVA,$11823.86
225,Bobbette,Veal - Striploin,Obie,3/11/2021,9:33 PM,jcb,ACTIVA,$7028.59
226,Andres,Puff Pastry - Sheets,Myrta,7/21/2020,8:31 AM,jcb,ACTIVA,$18966.50
227,Ajay,Soap - Pine Sol Floor Cleaner,Kriste,10/30/2020,9:58 PM,jcb,ACTIVA,$19531.01
228,Kenny,Cheese - Sheep Milk,Sybilla,7/14/2020,7:20 AM,mastercard,ACTIVA,$8753.27
229,Ruthe,Wine - Segura Viudas Aria Brut,Tobie,4/24/2020,7:08 AM,jcb,ACTIVA,$19979.85
230,Douglas,Jameson - Irish Whiskey,Donnajean,4/7/2020,12:48 PM,maestro,ACTIVA,$4745.32
231,Eirena,Wine - Rosso Del Veronese Igt,Lion,1/25/2021,7:45 AM,visa-electron,ACTIVA,$11231.50
232,Nicolina,Wanton Wrap,Wilmar,1/8/2021,9:10 PM,china-unionpay,ACTIVA,$11441.46
233,Hobey,Tart - Raisin And Pecan,Vassili,11/13/2020,7:36 PM,jcb,ACTIVA,$10852.11
234,Nike,Brandy Cherry - Mcguinness,Melodie,1/9/2021,8:03 AM,diners-club-carte-blanche,ACTIVA,$18995.69
235,Blinni,Wheat - Soft Kernal Of Wheat,Prescott,12/5/2020,8:42 PM,jcb,ACTIVA,$11209.34
236,Brannon,Zucchini - Yellow,Charlean,2/9/2021,5:10 PM,visa-electron,ACTIVA,$14463.93
237,Bendicty,Sloe Gin - Mcguinness,Jasmin,11/8/2020,7:15 PM,mastercard,ACTIVA,$14520.86
238,Austina,"Pepper - Paprika, Spanish",Viviyan,11/23/2020,4:41 PM,visa,ACTIVA,$18905.67
239,Adria,Oysters - Smoked,Marshall,11/5/2020,1:14 AM,americanexpress,ACTIVA,$16174.83
240,Natasha,Ice Cream - Strawberry,Pascal,6/17/2020,1:24 PM,mastercard,ACTIVA,$11873.11
241,Leontine,Cookies - Assorted,Brier,4/6/2020,7:58 PM,maestro,ACTIVA,$14661.13
242,Byrle,Instant Coffee,Chadd,11/3/2020,3:33 PM,mastercard,ACTIVA,$4084.75
243,Sydney,Pie Filling - Apple,Hartley,6/19/2020,7:58 PM,diners-club-enroute,ACTIVA,$15720.29
